task_id,run_timestamp,category,url,url_domain,instruction,instruction_length,status,latency_seconds,steps_taken,steps_budget,steps_utilization_pct,retry_count,llm_model,llm_provider,llm_calls,total_thought_chars,final_answer,final_answer_length,avg_step_latency_seconds,max_step_latency_seconds,error_code,error_label,error_hint,error_message,has_captcha_signal,has_auth_signal,has_timeout_signal,has_bot_block_signal,failure_root,task_validity_code,task_validity_reason,task_validity_confidence,url_http_status,url_probe_note
task_0011,2026-06-24T08:45:20.159526+00:00,DELETE,https://www.radiotimes.com,www.radiotimes.com,"Navigate to your newsletter subscription settings on Radiotimes and unsubscribe from the weekly news digest, confirming successful removal via the displayed message.
Only use http://radiotimes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this ",305,FAILED,3.51,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0012,2026-06-24T08:45:39.019559+00:00,DELETE,https://www.bbcgoodfood.com,www.bbcgoodfood.com,"Log in, create a “Quick Pasta” recipe collection and add 3 pasta recipes, then delete the recipe collection and confirm it is gone
Only use https://www.bbcgoodfood.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",277,FAILED,3.37,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoCredentials,browser-use has no credential/session injection,0.95,200,
task_0013,2026-06-24T08:45:57.725161+00:00,DELETE,https://www.bbcgoodfood.com,www.bbcgoodfood.com,"Log in, post a comment under a grilled chicken recipe, then delete that comment. 
Only use https://www.bbcgoodfood.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",228,FAILED,3.56,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoCredentials,browser-use has no credential/session injection,0.95,200,
task_0014,2026-06-24T08:46:16.618953+00:00,DELETE,https://www.nasdaq.com,www.nasdaq.com,"Log in, add Apple Inc. to your watchlist, then remove it from your personalized watchlist and verify that it no longer appears in your list.
Only use http://nasdaq.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",276,FAILED,3.47,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoCredentials,browser-use has no credential/session injection,0.95,200,
task_0015,2026-06-24T08:46:37.381629+00:00,DELETE,https://www.wikihow.com/Main-Page,www.wikihow.com,"Log in to your wikiHow account, create a test draft titled “Temporary Guide for Testing,” then delete the draft and confirm its removal from your drafts list.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",295,FAILED,3.22,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.5,0.5,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoCredentials,browser-use has no credential/session injection,0.95,200,
task_0016,2026-06-24T08:46:56.305465+00:00,UPDATE,https://www.wikihow.com/Main-Page,www.wikihow.com,"Log in to your wikiHow account and update your profile by adding a new biography that highlights your recent how-to contributions.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",267,FAILED,3.4,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0017,2026-06-24T08:47:15.500144+00:00,UPDATE,https://www.radiotimes.com,www.radiotimes.com,"Log in to your Radiotimes newsletter subscription portal and update your email preferences to receive only UK entertainment news, then verify the confirmation message.
Only use http://radiotimes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from thi",307,FAILED,3.58,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoCredentials,browser-use has no credential/session injection,0.95,200,
task_0018,2026-06-24T08:47:34.550698+00:00,UPDATE,https://www.apa.org,www.apa.org,"Modify your APA account’s newsletter preferences to switch from bi-weekly updates to monthly summaries.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",236,FAILED,3.77,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0019,2026-06-24T08:47:54.296515+00:00,UPDATE,https://www.nasdaq.com,www.nasdaq.com,"Log in, create a personalized watchlist, then access your personalized watchlist and update it by adding ""Tesla"" and ""Alphabet Inc."" to reflect your current interests.
Only use http://nasdaq.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this si",303,FAILED,3.48,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoCredentials,browser-use has no credential/session injection,0.95,200,
task_0020,2026-06-24T08:48:16.284096+00:00,UPDATE,https://www.wikihow.com/Main-Page,www.wikihow.com,"Create a draft for “How to Develop a Morning Routine” on wikiHow, and update the draft with an additional final step.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",254,FAILED,3.14,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.5,0.5,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0021,2026-06-24T08:48:35.447906+00:00,FILE_MANIPULATION,https://www.bbcgoodfood.com,www.bbcgoodfood.com,"From the ""Classic Beef Stew"" recipe page, print the recipe to a PDF file and extract a textual list of the ingredients included.
Only use https://www.bbcgoodfood.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",275,FAILED,3.48,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0022,2026-06-24T08:48:54.360132+00:00,FILE_MANIPULATION,https://www.worldbank.org/ext/en/home,www.worldbank.org,"Search for a research paper on ""Climate Change Adaptation"" published on the site and download the corresponding PDF file.
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",260,FAILED,3.42,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0023,2026-06-24T08:49:13.128117+00:00,FILE_MANIPULATION,https://www.worldbank.org/ext/en/home,www.worldbank.org,"Search for and download a policy document available in PDF format that focuses on environmental policies.
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",244,FAILED,3.65,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0024,2026-06-24T08:49:32.141775+00:00,FILE_MANIPULATION,https://www.worldbank.org/ext/en/home,www.worldbank.org,"Find and download a PDF report from the ""Research"" section that discusses global economic trends, confirming that the file name includes ""Economic.""
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",287,FAILED,3.24,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.5,0.5,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0025,2026-06-24T08:49:50.675197+00:00,FILE_MANIPULATION,https://www.worldbank.org/ext/en/home,www.worldbank.org,"Download the latest annual World Bank report available in PDF format from the ""Publications"" or ""Reports"" section.
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",253,FAILED,3.13,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.5,0.5,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
