ID,website,Category,instruction
2368,https://www.bbcgoodfood.com,DELETE,"Log in, post a comment under a grilled chicken recipe, then delete that comment. 
Only use https://www.bbcgoodfood.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1178,https://www.nasdaq.com,DELETE,"Log in, add Apple Inc. to your watchlist, then remove it from your personalized watchlist and verify that it no longer appears in your list.
Only use http://nasdaq.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2101,https://www.wikihow.com/Main-Page,DELETE,"Log in to your wikiHow account, create a test draft titled “Temporary Guide for Testing,” then delete the draft and confirm its removal from your drafts list.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2108,https://www.wikihow.com/Main-Page,UPDATE,"Log in to your wikiHow account and update your profile by adding a new biography that highlights your recent how-to contributions.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1409,https://www.radiotimes.com,UPDATE,"Log in to your Radiotimes newsletter subscription portal and update your email preferences to receive only UK entertainment news, then verify the confirmation message.
Only use http://radiotimes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
96,https://www.apa.org,UPDATE,"Modify your APA account’s newsletter preferences to switch from bi-weekly updates to monthly summaries.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1184,https://www.nasdaq.com,UPDATE,"Log in, create a personalized watchlist, then access your personalized watchlist and update it by adding ""Tesla"" and ""Alphabet Inc."" to reflect your current interests.
Only use http://nasdaq.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2110,https://www.wikihow.com/Main-Page,UPDATE,"Create a draft for “How to Develop a Morning Routine” on wikiHow, and update the draft with an additional final step.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2369,https://www.bbcgoodfood.com,FILE_MANIPULATION,"From the ""Classic Beef Stew"" recipe page, print the recipe to a PDF file and extract a textual list of the ingredients included.
Only use https://www.bbcgoodfood.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2171,https://www.worldbank.org/ext/en/home,FILE_MANIPULATION,"Search for a research paper on ""Climate Change Adaptation"" published on the site and download the corresponding PDF file.
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2169,https://www.worldbank.org/ext/en/home,FILE_MANIPULATION,"Search for and download a policy document available in PDF format that focuses on environmental policies.
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2168,https://www.worldbank.org/ext/en/home,FILE_MANIPULATION,"Find and download a PDF report from the ""Research"" section that discusses global economic trends, confirming that the file name includes ""Economic.""
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2166,https://www.worldbank.org/ext/en/home,FILE_MANIPULATION,"Download the latest annual World Bank report available in PDF format from the ""Publications"" or ""Reports"" section.
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
